Biểu số: 0510/BTNMT;;;CƯỜNG ĐỘ BỨC XẠ CỰC TÍM;;;;;;;;;Đơn vị báo cáo: Tổng cục Khí tượng Thủy văn;;;;;;
"Ban hành kèm theo Thông tư số 20/2018/TT-BTNMT, ngày 8/11/2018  của bộ Tài nguyên và môi trường báo cáo: 
Ngày nhận báo cáo: Ngày 15/3 năm sau";;;;;;Năm 2019;;;;;;Đơn vị nhận báo cáo: Vụ Kế hoạch - Tài chính;;;;;;
;;;;;;;;;;;;Đơn vị tính: J/m2;;;;;;
STT;Trạm và thông số quan trắc;Mã số;Tọa độ;;Cường độ bức xạ cực tím tháng;;;;;;;;;;;;Cả năm;
;;;Kinh độ;"Vĩ
 độ";I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;;
A;B;C;D;E;1;2;3;4;5;6;7;8;9;10;11;12;13;
1;Trạm KTCK Hà Nội;;105.80E;21.02N; 774;1499;1085;1598;1739;3049;2803;2524;2648;1600;896;-;1767;
2;Trạm KTCK Tân Sơn Hòa;; 106.68E;10.66N ;901;2176;1684;2602;2579;3170;2391;-;2210;1344;-;-;2117;
3;Trạm ô dôn – BXCT Sapa;; 10.3.82E; 22.35N;2494;3384;3553;3889;3238;3251;3284;2960;2421;-;-;-;3164;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Ngày 10 tháng 03 năm 2020;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
